Species,Chromosome,Gene,CoordinateStart,CoordinateEnd
Doryteuthis,Dpe42,Dopeav2129726m,50669437,50671350
Doryteuthis,Dpe45,Dopeav2134102m,14718119,14948667
Doryteuthis,Dpe31,Dopeav2101818m,25522313,25620681
Doryteuthis,Dpe21,Dopeav2074543m,92240826,92309316
Doryteuthis,Dpe21,Dopeav2073852m,68260897,68263271
Doryteuthis,Dpe15,Dopeav2054101m,74695662,74696422
Doryteuthis,Dpe27,Dopeav2091451m,55720972,55879276
Doryteuthis,Dpe37,Dopeav2118514m,40401156,40432293
Doryteuthis,Dpe32,Dopeav2104586m,22611765,22612383
Doryteuthis,Dpe02,Dopeav2005958m,66078651,66113008
Doryteuthis,Dpe18,Dopeav2063609m,26464788,26465075
Doryteuthis,Dpe22,Dopeav2077336m,84653248,84660584
Doryteuthis,Dpe37,Dopeav2118493m,39830286,39838811
Doryteuthis,Dpe42,Dopeav2129636m,47674396,47765052
Doryteuthis,Dpe01,Dopeav2001030m,39812380,39847463
Doryteuthis,Dpe35,Dopeav2113589m,48681675,48710496
Doryteuthis,Dpe23,Dopeav2078632m,36110862,36112706
Doryteuthis,Dpe14,Dopeav2049766m,63836088,63876452
Doryteuthis,Dpe01,Dopeav2000816m,31612307,31615021
Doryteuthis,Dpe05,Dopeav2018155m,81644162,81983954
Doryteuthis,Dpe27,Dopeav2092356m,81435905,81437919
Doryteuthis,Dpe10,Dopeav2035015m,38767764,38769463
Doryteuthis,Dpe06,Dopeav2021905m,75872136,75878984
Doryteuthis,Dpe02,Dopeav2007156m,107272461,107469531
Doryteuthis,Dpe26,Dopeav2089478m,92408224,92408448
Doryteuthis,Dpe07,Dopeav2024009m,11984611,12020597
Doryteuthis,Dpe09,Dopeav2032693m,85830528,85831419
Doryteuthis,Dpe15,Dopeav2055577m,106268999,106272024
Doryteuthis,scDpe0238,Dopeav2137635m,87466,87936
Doryteuthis,Dpe15,Dopeav2053544m,60975478,60993570
Doryteuthis,Dpe34,Dopeav2110570m,32721521,32721967
Doryteuthis,Dpe29,Dopeav2096230m,21346663,21357801
Doryteuthis,Dpe10,Dopeav2036954m,115147768,115168950
Doryteuthis,Dpe18,Dopeav2063431m,21864970,21865530
Doryteuthis,Dpe20,Dopeav2069659m,31260737,31325907
Doryteuthis,Dpe13,Dopeav2047570m,97034689,97042198
Doryteuthis,Dpe01,Dopeav2001529m,61742218,61754481
Doryteuthis,Dpe45,Dopeav2133668m,1859971,1861497
Doryteuthis,Dpe16,Dopeav2056871m,23188306,23189101
Doryteuthis,Dpe15,Dopeav2055358m,101299483,101299713
Doryteuthis,Dpe15,Dopeav2051918m,19526927,19529159
Doryteuthis,Dpe32,Dopeav2105370m,45910257,45942985
Doryteuthis,Dpe15,Dopeav2052689m,39252869,39253108
Doryteuthis,Dpe27,Dopeav2090342m,25080373,25088578
Doryteuthis,Dpe28,Dopeav2093721m,35967889,35981884
Doryteuthis,Dpe08,Dopeav2027602m,14564121,14565183
Doryteuthis,Dpe04,Dopeav2015116m,109995232,109995834
Doryteuthis,Dpe35,Dopeav2112644m,16612880,16614023
Doryteuthis,Dpe04,Dopeav2015641m,130764958,130765341
Doryteuthis,Dpe15,Dopeav2052835m,42844097,42846087
Doryteuthis,Dpe26,Dopeav2087296m,17579382,17580548
Doryteuthis,Dpe21,Dopeav2073836m,67759468,67811352
Doryteuthis,Dpe15,Dopeav2056251m,123521817,123567288
Doryteuthis,Dpe01,Dopeav2002739m,105365075,105378457
Doryteuthis,Dpe15,Dopeav2052368m,31437719,31460042
Doryteuthis,Dpe06,Dopeav2020226m,14494986,14495216
Doryteuthis,Dpe02,Dopeav2007283m,112411965,112455516
Doryteuthis,Dpe44,Dopeav2132743m,29032317,29047403
Doryteuthis,Dpe32,Dopeav2105623m,55014237,55023515
Doryteuthis,Dpe07,Dopeav2026404m,105709204,105819709
Doryteuthis,Dpe19,Dopeav2068156m,74351013,74393235
Doryteuthis,Dpe32,Dopeav2104620m,23760937,23774994
Doryteuthis,Dpe13,Dopeav2046044m,40909822,40968920
Doryteuthis,Dpe18,Dopeav2063930m,39514875,39546240
Doryteuthis,Dpe26,Dopeav2088622m,65029833,65185482
Doryteuthis,Dpe16,Dopeav2057144m,31422972,31499743
Doryteuthis,Dpe41,Dopeav2127913m,57417663,57418081
Doryteuthis,Dpe33,Dopeav2108848m,61189862,61190198
Doryteuthis,Dpe06,Dopeav2021898m,75545868,75614734
Doryteuthis,Dpe13,Dopeav2046456m,54195743,54235376
Doryteuthis,scDpe0113,Dopeav2136719m,227036,227350
Doryteuthis,Dpe42,Dopeav2128139m,3544361,3659275
Doryteuthis,Dpe13,Dopeav2047724m,105610326,105611107
Doryteuthis,Dpe42,Dopeav2129701m,49798403,49807527
Doryteuthis,Dpe36,Dopeav2116172m,49378232,49378761
Doryteuthis,Dpe07,Dopeav2026723m,115136530,115137277
Doryteuthis,Dpe36,Dopeav2115791m,38347268,38386668
Doryteuthis,Dpe42,Dopeav2129089m,31627035,31634564
Doryteuthis,Dpe15,Dopeav2052245m,28112610,28123470
Doryteuthis,Dpe15,Dopeav2054126m,75130546,75153308
Doryteuthis,Dpe10,Dopeav2035816m,71998016,72015965
Doryteuthis,Dpe09,Dopeav2031455m,38832497,38833280
Doryteuthis,Dpe08,Dopeav2028498m,54902525,54965637
Doryteuthis,Dpe19,Dopeav2068678m,102513039,102730953
Doryteuthis,Dpe15,Dopeav2054407m,81335625,81338141
Doryteuthis,Dpe39,Dopeav2121421m,5415365,5428700
Doryteuthis,Dpe08,Dopeav2028480m,54445067,54467853
Doryteuthis,Dpe05,Dopeav2016572m,20512638,20633735
Doryteuthis,Dpe14,Dopeav2051266m,120581085,120685155
Doryteuthis,Dpe11,Dopeav2038032m,24660726,24745804
Doryteuthis,Dpe08,Dopeav2028539m,55680308,55720047
Doryteuthis,Dpe22,Dopeav2075615m,23262369,23302954
Doryteuthis,Dpe41,Dopeav2127764m,53979114,53979837
Doryteuthis,Dpe31,Dopeav2103678m,76301128,76301490
Doryteuthis,Dpe11,Dopeav2039182m,66657894,66755685
Doryteuthis,Dpe27,Dopeav2090583m,32303353,32303682
Doryteuthis,Dpe27,Dopeav2091157m,46755235,46785249
Doryteuthis,Dpe15,Dopeav2055062m,95265759,95276027
Doryteuthis,Dpe09,Dopeav2032064m,57225861,57226166
Doryteuthis,Dpe44,Dopeav2131956m,5874391,5876804
Doryteuthis,Dpe09,Dopeav2031593m,43134363,43158869
Doryteuthis,Dpe06,Dopeav2022826m,107469514,107484242
Doryteuthis,Dpe45,Dopeav2134279m,19901454,19931761
Doryteuthis,Dpe12,Dopeav2042038m,23327532,23456978
Doryteuthis,Dpe15,Dopeav2053893m,69702739,69704187
Doryteuthis,Dpe21,Dopeav2073272m,51006021,51012219
Doryteuthis,Dpe12,Dopeav2042011m,21671824,21672628
Doryteuthis,Dpe15,Dopeav2054748m,88972740,88977349
Doryteuthis,Dpe16,Dopeav2058948m,98170676,98171341
Doryteuthis,Dpe46,Dopeav2135360m,6227632,6228297
Doryteuthis,Dpe18,Dopeav2063848m,35650270,35697627
Doryteuthis,Dpe15,Dopeav2051589m,8593992,8594384
Doryteuthis,Dpe25,Dopeav2086695m,91609816,91610229
Doryteuthis,Dpe41,Dopeav2128005m,59552881,59600152
Doryteuthis,Dpe34,Dopeav2110634m,34736747,34758954
Doryteuthis,Dpe27,Dopeav2089851m,9767020,9872025
Doryteuthis,Dpe18,Dopeav2063137m,10450948,10533302
Doryteuthis,Dpe02,Dopeav2007132m,106328506,106420001
Doryteuthis,Dpe28,Dopeav2093706m,35297206,35435420
Doryteuthis,scDpe0123,Dopeav2136846m,29594,32177
Doryteuthis,Dpe22,Dopeav2077509m,93727210,93727952
Doryteuthis,Dpe35,Dopeav2114159m,61897088,61956133
Doryteuthis,Dpe08,Dopeav2028321m,50281752,50399705
Doryteuthis,Dpe09,Dopeav2030870m,16682124,16682836
Doryteuthis,Dpe22,Dopeav2077352m,85384476,85413165
Doryteuthis,Dpe42,Dopeav2129652m,48064105,48132515
Doryteuthis,Dpe25,Dopeav2084932m,39743337,39755153
Doryteuthis,Dpe02,Dopeav2005250m,43934765,43969099
Doryteuthis,Dpe11,Dopeav2039413m,74074195,74080480
Doryteuthis,Dpe32,Dopeav2105733m,57042896,57043498
Doryteuthis,Dpe35,Dopeav2112550m,13097135,13295392
Doryteuthis,Dpe32,Dopeav2105902m,63287055,63382261
Doryteuthis,Dpe21,Dopeav2073799m,66441840,66459261
Doryteuthis,Dpe38,Dopeav2120452m,40397151,40477715
Doryteuthis,Dpe31,Dopeav2101519m,17245068,17279237
Doryteuthis,Dpe24,Dopeav2082883m,72309823,72328957
Doryteuthis,Dpe09,Dopeav2030613m,7272887,7273980
Doryteuthis,Dpe42,Dopeav2129497m,43768076,43768549
Doryteuthis,Dpe36,Dopeav2115407m,27656343,27766196
Doryteuthis,Dpe16,Dopeav2058991m,100087462,100087719
Doryteuthis,Dpe36,Dopeav2115126m,20863459,20895334
Doryteuthis,Dpe04,Dopeav2013091m,39081218,39085989
Doryteuthis,Dpe21,Dopeav2073308m,51731754,52075709
Doryteuthis,Dpe10,Dopeav2035986m,76995345,77043476
Doryteuthis,Dpe15,Dopeav2054791m,90011279,90013146
Doryteuthis,Dpe23,Dopeav2080132m,84790590,84869965
Doryteuthis,Dpe03,Dopeav2009138m,30371693,30421297
Doryteuthis,Dpe03,Dopeav2009111m,30166025,30167209
Doryteuthis,Dpe13,Dopeav2045679m,28601362,28634016
Doryteuthis,Dpe03,Dopeav2009646m,52206122,52273982
Doryteuthis,Dpe03,Dopeav2009847m,58778305,58888874
Doryteuthis,Dpe45,Dopeav2134377m,22966992,22988161
Doryteuthis,Dpe18,Dopeav2063891m,37725591,37755333
Doryteuthis,Dpe34,Dopeav2111433m,58874108,58874380
Doryteuthis,Dpe18,Dopeav2064362m,50226275,50352643
Doryteuthis,Dpe44,Dopeav2132304m,16729261,16746922
Doryteuthis,Dpe39,Dopeav2121341m,3250061,3250419
Doryteuthis,Dpe17,Dopeav2062479m,98776217,98800595
Doryteuthis,Dpe12,Dopeav2043963m,90312962,90318166
Doryteuthis,Dpe30,Dopeav2100627m,68453491,68499205
Doryteuthis,Dpe09,Dopeav2034003m,129997695,129998413
Doryteuthis,Dpe15,Dopeav2052495m,34539946,34541885
Doryteuthis,Dpe23,Dopeav2077717m,3006817,3020068
Doryteuthis,Dpe31,Dopeav2101328m,8456755,8474005
Doryteuthis,Dpe10,Dopeav2035000m,38160588,38162476
Doryteuthis,Dpe41,Dopeav2127883m,56770183,56772749
Doryteuthis,Dpe11,Dopeav2040928m,118426491,118470946
Doryteuthis,Dpe06,Dopeav2021910m,76217581,76307326
Doryteuthis,Dpe30,Dopeav2100826m,76711897,76722213
Doryteuthis,Dpe41,Dopeav2127658m,51676265,51677188
Doryteuthis,Dpe32,Dopeav2106002m,65383335,65385136
Doryteuthis,Dpe41,Dopeav2125850m,3989734,4009986
Doryteuthis,Dpe10,Dopeav2034676m,28195584,28197606
Doryteuthis,Dpe34,Dopeav2109538m,4525545,4525808
Doryteuthis,Dpe40,Dopeav2124690m,34532478,34617871
Doryteuthis,Dpe39,Dopeav2122015m,20841424,20842062
Doryteuthis,Dpe15,Dopeav2055802m,110872728,110873547
Doryteuthis,Dpe05,Dopeav2016621m,22543573,22545759
Doryteuthis,Dpe15,Dopeav2052553m,36148092,36148696
Doryteuthis,Dpe46,Dopeav2135801m,19615408,19616430
Doryteuthis,Dpe39,Dopeav2121465m,6759488,6760313
Doryteuthis,Dpe30,Dopeav2100737m,71840459,71841627
Doryteuthis,Dpe06,Dopeav2021841m,73185559,73197568
Doryteuthis,Dpe41,Dopeav2126078m,9606716,9734949
Doryteuthis,Dpe27,Dopeav2092679m,88363088,88412094
Doryteuthis,Dpe15,Dopeav2055159m,97319591,97320656
Doryteuthis,Dpe06,Dopeav2022945m,111276908,111279043
Doryteuthis,Dpe01,Dopeav2000326m,12942137,12957032
Doryteuthis,Dpe20,Dopeav2069583m,28020510,28039359
Doryteuthis,Dpe10,Dopeav2036086m,82100385,82102558
Doryteuthis,Dpe08,Dopeav2027576m,13396709,13536566
Doryteuthis,Dpe14,Dopeav2048300m,381307,396987
Doryteuthis,Dpe11,Dopeav2040669m,110920898,111011592
Doryteuthis,Dpe35,Dopeav2114062m,58811974,58872535
Doryteuthis,Dpe42,Dopeav2129349m,40300357,40378925
Doryteuthis,Dpe11,Dopeav2039575m,78307138,78321740
Doryteuthis,Dpe08,Dopeav2028441m,53548665,53550043
Doryteuthis,Dpe25,Dopeav2084084m,13308290,13329004
Doryteuthis,Dpe02,Dopeav2008428m,155064857,155227063
Doryteuthis,Dpe06,Dopeav2021218m,50085378,50167820
Doryteuthis,Dpe04,Dopeav2012104m,1500679,1501626
Doryteuthis,Dpe36,Dopeav2115101m,20340317,20340700
Doryteuthis,Dpe06,Dopeav2021231m,50362006,50407190
Doryteuthis,Dpe43,Dopeav2131703m,49447633,49448285
Doryteuthis,Dpe28,Dopeav2093765m,37205135,37220670
Doryteuthis,Dpe08,Dopeav2029419m,84520126,84679264
Doryteuthis,Dpe07,Dopeav2025743m,82734612,82867507
Doryteuthis,Dpe35,Dopeav2112979m,29406830,29422464
Doryteuthis,Dpe26,Dopeav2087860m,35720872,35721084
Doryteuthis,Dpe42,Dopeav2128547m,15153626,15311641
Doryteuthis,Dpe17,Dopeav2060622m,39921872,39922588
Doryteuthis,Dpe23,Dopeav2079062m,47801296,47849978
Doryteuthis,Dpe20,Dopeav2070013m,43633983,43634231
Doryteuthis,Dpe23,Dopeav2080156m,85817662,85842615
Doryteuthis,Dpe11,Dopeav2040388m,101732889,101734289
Doryteuthis,Dpe16,Dopeav2058281m,71221263,71285910
Doryteuthis,Dpe39,Dopeav2122816m,42543459,42569000
Doryteuthis,Dpe25,Dopeav2083699m,2055594,2065019
Doryteuthis,Dpe21,Dopeav2074603m,94364363,94438878
Doryteuthis,Dpe19,Dopeav2067428m,47680596,47681270
Doryteuthis,Dpe15,Dopeav2055563m,106079469,106083352
Doryteuthis,Dpe40,Dopeav2124273m,22337342,22347782
Doryteuthis,Dpe39,Dopeav2122472m,33732635,33935238
Doryteuthis,Dpe15,Dopeav2054516m,84423213,84423758
Doryteuthis,Dpe24,Dopeav2080678m,2812292,2813492
Doryteuthis,Dpe21,Dopeav2072758m,33518883,33610903
Doryteuthis,Dpe10,Dopeav2035296m,52435595,52436690
Doryteuthis,Dpe22,Dopeav2077285m,83540681,83543542
Doryteuthis,Dpe33,Dopeav2108549m,50440727,50464463
Doryteuthis,Dpe15,Dopeav2054560m,85107759,85112843
Doryteuthis,Dpe30,Dopeav2100801m,75833045,75870936
Doryteuthis,Dpe39,Dopeav2122860m,44109650,44203084
Doryteuthis,Dpe03,Dopeav2009417m,40502197,40666942
Doryteuthis,Dpe22,Dopeav2075600m,23106671,23136154
Doryteuthis,Dpe05,Dopeav2016073m,614230,615753
Doryteuthis,Dpe27,Dopeav2091904m,68230527,68230938
Doryteuthis,Dpe33,Dopeav2106643m,727703,837589
Doryteuthis,Dpe40,Dopeav2124369m,24156111,24255713
Doryteuthis,Dpe38,Dopeav2120436m,39968531,39972022
Doryteuthis,Dpe24,Dopeav2082142m,46363943,46481132
Doryteuthis,Dpe14,Dopeav2048486m,10253946,10306429
Doryteuthis,Dpe06,Dopeav2022316m,88932310,88932501
Doryteuthis,Dpe06,Dopeav2020935m,39369072,39369749
Doryteuthis,Dpe05,Dopeav2017653m,59366967,59367575
Doryteuthis,Dpe18,Dopeav2064103m,43888555,43966365
Doryteuthis,Dpe29,Dopeav2097628m,64087689,64111559
Doryteuthis,Dpe15,Dopeav2053604m,62775380,62776685
Doryteuthis,Dpe25,Dopeav2083945m,10095031,10096274
Doryteuthis,Dpe12,Dopeav2042820m,54823309,55059285
Doryteuthis,Dpe10,Dopeav2036729m,107859115,107954678
Doryteuthis,Dpe06,Dopeav2022360m,90169284,90265249
Doryteuthis,Dpe23,Dopeav2077808m,7160869,7182320
Doryteuthis,Dpe06,Dopeav2021438m,59580782,59602123
Doryteuthis,Dpe46,Dopeav2135627m,14431415,14450632
Doryteuthis,Dpe05,Dopeav2016807m,28904740,28923877
Doryteuthis,scDpe0284,Dopeav2137761m,56060,56269
Doryteuthis,Dpe26,Dopeav2087749m,32515679,32528907
Doryteuthis,Dpe30,Dopeav2100025m,45821564,46004894
Doryteuthis,Dpe38,Dopeav2119875m,20962878,21022723
Doryteuthis,Dpe46,Dopeav2135826m,20147051,20147376
Doryteuthis,Dpe06,Dopeav2022061m,81578384,81578659
Doryteuthis,Dpe43,Dopeav2130902m,27877725,27882317
Doryteuthis,Dpe11,Dopeav2038324m,33729574,33788215
Doryteuthis,Dpe20,Dopeav2069342m,21779700,21888998
Doryteuthis,Dpe10,Dopeav2037049m,118634546,118725001
Doryteuthis,Dpe13,Dopeav2048026m,116754480,116758274
Doryteuthis,Dpe02,Dopeav2005204m,42622914,42623456
Doryteuthis,Dpe02,Dopeav2004867m,32293703,32442177
