DoryGENE,EupGENE
Dopeav2014392m,cluster_25093
Dopeav2048314m,cluster_5474
Dopeav2037907m,cluster_313
Dopeav2083535m,cluster_16946
Dopeav2057078m,cluster_8286
Dopeav2062516m,cluster_24093
Dopeav2104842m,cluster_1507
Dopeav2004565m,cluster_28577
Dopeav2126545m,cluster_1112
Dopeav2018583m,cluster_1389
Dopeav2120165m,cluster_15704
Dopeav2128620m,cluster_10571
Dopeav2000730m,cluster_17224
Dopeav2033158m,cluster_5061
Dopeav2042916m,cluster_15105
Dopeav2019249m,cluster_1987
Dopeav2081097m,cluster_26621
Dopeav2094336m,cluster_22639
Dopeav2025124m,cluster_5186
Dopeav2111423m,cluster_19013
Dopeav2108528m,cluster_201
Dopeav2030734m,cluster_3076
Dopeav2049585m,cluster_20158
Dopeav2063975m,cluster_2658
Dopeav2097499m,cluster_10663
Dopeav2020175m,cluster_14659
Dopeav2055569m,cluster_13241
Dopeav2062802m,cluster_26055
Dopeav2105405m,cluster_8171
Dopeav2025096m,cluster_3
Dopeav2059486m,cluster_712
Dopeav2101517m,cluster_3396
Dopeav2083199m,cluster_11675
Dopeav2013228m,cluster_25177
Dopeav2135642m,cluster_8273
Dopeav2008142m,cluster_14591
Dopeav2136674m,cluster_14340
Dopeav2134017m,cluster_8276
Dopeav2041931m,cluster_2237
Dopeav2045270m,cluster_5926
Dopeav2088127m,cluster_21429
Dopeav2089761m,cluster_6276
Dopeav2000733m,cluster_17225
Dopeav2018580m,cluster_2588
Dopeav2028440m,cluster_7913
Dopeav2085230m,cluster_10963
Dopeav2071022m,cluster_9089
Dopeav2090342m,cluster_7210
Dopeav2006660m,cluster_1815
Dopeav2092031m,cluster_19255
Dopeav2114087m,cluster_4658
Dopeav2042687m,cluster_6198
Dopeav2042003m,cluster_127
Dopeav2081118m,cluster_26619
Dopeav2009744m,cluster_26879
Dopeav2089228m,cluster_14668
Dopeav2065974m,cluster_21827
Dopeav2066232m,cluster_9063
Dopeav2003201m,cluster_25332
Dopeav2048021m,cluster_9808
Dopeav2129573m,cluster_27155
Dopeav2000813m,cluster_28462
Dopeav2093334m,cluster_9559
Dopeav2079757m,cluster_13691
Dopeav2026134m,cluster_25472
Dopeav2092224m,cluster_17307
Dopeav2134286m,cluster_12138
Dopeav2073589m,cluster_27342
Dopeav2077470m,cluster_3506
Dopeav2135971m,cluster_7376
Dopeav2101626m,cluster_19527
Dopeav2114145m,cluster_10716
Dopeav2097083m,cluster_275
Dopeav2037036m,cluster_240
Dopeav2062459m,cluster_4728
Dopeav2045366m,cluster_28594
Dopeav2127262m,cluster_16534
Dopeav2058664m,cluster_26133
Dopeav2012613m,cluster_7317
Dopeav2126415m,cluster_15196
Dopeav2041191m,cluster_7687
Dopeav2115131m,cluster_7310
Dopeav2096429m,cluster_9181
Dopeav2030814m,cluster_5327
Dopeav2075507m,cluster_19285
Dopeav2018923m,cluster_7359
Dopeav2080680m,cluster_2530
Dopeav2009668m,cluster_2592
Dopeav2067896m,cluster_974
Dopeav2071251m,cluster_9503
Dopeav2042665m,cluster_7558
Dopeav2086220m,cluster_2112
Dopeav2130635m,cluster_4875
Dopeav2009138m,cluster_24150
Dopeav2124275m,cluster_15149
Dopeav2124521m,cluster_7837
Dopeav2114722m,cluster_22068
Dopeav2035124m,cluster_20539
Dopeav2036994m,cluster_13480
Dopeav2093352m,cluster_7932
Dopeav2091708m,cluster_26903
Dopeav2061661m,cluster_8872
Dopeav2067366m,cluster_18459
Dopeav2011467m,cluster_6371
Dopeav2023589m,cluster_3720
Dopeav2100751m,cluster_1950
Dopeav2118558m,cluster_10938
Dopeav2055888m,cluster_1712
Dopeav2089449m,cluster_8685
Dopeav2134813m,cluster_12462
Dopeav2119081m,cluster_445
Dopeav2045815m,cluster_11320
Dopeav2038242m,cluster_6370
Dopeav2104298m,cluster_22497
Dopeav2030979m,cluster_8394
Dopeav2083359m,cluster_9234
Dopeav2029306m,cluster_11575
Dopeav2094022m,cluster_13796
Dopeav2038192m,cluster_5736
Dopeav2029986m,cluster_22581
Dopeav2028494m,cluster_13245
Dopeav2107654m,cluster_19120
Dopeav2118697m,cluster_9523
Dopeav2118852m,cluster_4657
Dopeav2079743m,cluster_10356
Dopeav2137650m,cluster_1173
Dopeav2135326m,cluster_13243
Dopeav2112746m,cluster_18250
Dopeav2056676m,cluster_1305
Dopeav2127463m,cluster_6190
Dopeav2006447m,cluster_3730
Dopeav2056137m,cluster_11964
Dopeav2043814m,cluster_19213
Dopeav2018474m,cluster_2433
Dopeav2000981m,cluster_8118
Dopeav2094578m,cluster_23805
Dopeav2088173m,cluster_11468
Dopeav2031545m,cluster_4170
Dopeav2110705m,cluster_15419
Dopeav2128136m,cluster_5531
Dopeav2005856m,cluster_1452
Dopeav2054878m,cluster_14488
Dopeav2086370m,cluster_4943
Dopeav2131748m,cluster_14593
Dopeav2074383m,cluster_16093
Dopeav2129200m,cluster_8586
Dopeav2052770m,cluster_26293
Dopeav2031787m,cluster_8845
Dopeav2045323m,cluster_27731
Dopeav2084785m,cluster_11132
Dopeav2005166m,cluster_14381
Dopeav2019916m,cluster_6667
Dopeav2118525m,cluster_19582
Dopeav2093685m,cluster_22287
Dopeav2056192m,cluster_19723
Dopeav2073481m,cluster_15475
Dopeav2083000m,cluster_1117
Dopeav2111716m,cluster_4058
Dopeav2029526m,cluster_4920
Dopeav2121609m,cluster_27643
Dopeav2070068m,cluster_7305
Dopeav2067273m,cluster_2200
Dopeav2129527m,cluster_22414
Dopeav2128291m,cluster_24211
Dopeav2105637m,cluster_2827
Dopeav2038954m,cluster_7782
Dopeav2037473m,cluster_26703
Dopeav2028192m,cluster_2148
Dopeav2036943m,cluster_20749
Dopeav2026233m,cluster_23180
Dopeav2066729m,cluster_23501
Dopeav2064107m,cluster_9866
Dopeav2122838m,cluster_11102
Dopeav2031674m,cluster_25273
Dopeav2064382m,cluster_16879
Dopeav2100016m,cluster_20184
Dopeav2124813m,cluster_16453
Dopeav2075015m,cluster_28065
Dopeav2011121m,cluster_8500
Dopeav2083003m,cluster_16577
Dopeav2110533m,cluster_171
Dopeav2054400m,cluster_12773
Dopeav2079179m,cluster_10803
Dopeav2056821m,cluster_28909
Dopeav2001670m,cluster_2100
Dopeav2048993m,cluster_25710
Dopeav2052773m,cluster_15132
Dopeav2122468m,cluster_8481
Dopeav2028457m,cluster_10665
Dopeav2038932m,cluster_22539
Dopeav2131664m,cluster_4108
Dopeav2023398m,cluster_4091
Dopeav2055846m,cluster_4842
Dopeav2070148m,cluster_10471
Dopeav2019995m,cluster_10754
Dopeav2093071m,cluster_23580
Dopeav2083211m,cluster_10977
Dopeav2103816m,cluster_11854
Dopeav2056242m,cluster_9047
Dopeav2067270m,cluster_19881
Dopeav2101660m,cluster_2462
Dopeav2105901m,cluster_7156
Dopeav2064961m,cluster_7638
Dopeav2017848m,cluster_7651
Dopeav2065287m,cluster_2794
Dopeav2102942m,cluster_12824
Dopeav2083388m,cluster_28281
Dopeav2029633m,cluster_3303
Dopeav2012053m,cluster_101
Dopeav2075382m,cluster_23454
Dopeav2006705m,cluster_2834
Dopeav2051255m,cluster_8560
Dopeav2130891m,cluster_3944
Dopeav2096105m,cluster_20933
Dopeav2067574m,cluster_6560
Dopeav2008058m,cluster_10842
Dopeav2097219m,cluster_12579
Dopeav2024974m,cluster_28507
Dopeav2135486m,cluster_14535
Dopeav2089677m,cluster_3580
Dopeav2082548m,cluster_14071
Dopeav2100739m,cluster_7366
Dopeav2088695m,cluster_22895
Dopeav2082768m,cluster_20112
Dopeav2084150m,cluster_2341
Dopeav2016751m,cluster_7470
Dopeav2026086m,cluster_6143
Dopeav2002827m,cluster_16761
Dopeav2036681m,cluster_25347
Dopeav2030842m,cluster_21242
Dopeav2126087m,cluster_14976
Dopeav2114765m,cluster_9284
Dopeav2137258m,cluster_27142
Dopeav2083331m,cluster_14290
Dopeav2115882m,cluster_870
Dopeav2058552m,cluster_3663
Dopeav2114022m,cluster_16830
Dopeav2105338m,cluster_26999
Dopeav2068590m,cluster_21926
Dopeav2038368m,cluster_17993
Dopeav2098985m,cluster_25382
Dopeav2064691m,cluster_4237
Dopeav2077907m,cluster_25948
Dopeav2008762m,cluster_24689
Dopeav2127258m,cluster_4377
Dopeav2035984m,cluster_15832
Dopeav2037895m,cluster_5314
Dopeav2108435m,cluster_4386
Dopeav2062539m,cluster_2091
Dopeav2036310m,cluster_5160
Dopeav2058681m,cluster_19029
Dopeav2120122m,cluster_7278
Dopeav2043963m,cluster_4082
Dopeav2116017m,cluster_1441
Dopeav2060167m,cluster_5406
Dopeav2064370m,cluster_13236
Dopeav2064422m,cluster_452
Dopeav2050830m,cluster_904
Dopeav2065095m,cluster_4190
Dopeav2001682m,cluster_15717
Dopeav2009226m,cluster_191
Dopeav2126216m,cluster_98
Dopeav2024477m,cluster_20335
Dopeav2091841m,cluster_1617
Dopeav2091795m,cluster_12323
Dopeav2020548m,cluster_11180
Dopeav2026075m,cluster_26435
Dopeav2106604m,cluster_11512
Dopeav2114415m,cluster_2086
Dopeav2065016m,cluster_4277
Dopeav2005983m,cluster_10858
Dopeav2105129m,cluster_1836
Dopeav2137817m,cluster_12498
Dopeav2098042m,cluster_22275
Dopeav2009044m,cluster_2036
Dopeav2052441m,cluster_18226
Dopeav2002131m,cluster_9875
Dopeav2135754m,cluster_13222
Dopeav2055402m,cluster_11845
Dopeav2100819m,cluster_2160
Dopeav2134892m,cluster_8632
Dopeav2132689m,cluster_26353
Dopeav2023271m,cluster_11040
Dopeav2039163m,cluster_9682
Dopeav2082586m,cluster_20598
Dopeav2131541m,cluster_8097
Dopeav2004918m,cluster_8246
Dopeav2039096m,cluster_13316
Dopeav2031898m,cluster_22379
Dopeav2112921m,cluster_27558
Dopeav2117533m,cluster_4573
Dopeav2062514m,cluster_16094
Dopeav2112044m,cluster_6414
Dopeav2036345m,cluster_977
Dopeav2066807m,cluster_6523
Dopeav2104272m,cluster_10904
Dopeav2019232m,cluster_25991
Dopeav2122866m,cluster_23285
Dopeav2054485m,cluster_9815
Dopeav2029422m,cluster_3966
Dopeav2018301m,cluster_23042
Dopeav2053696m,cluster_27526
Dopeav2082470m,cluster_11997
Dopeav2079220m,cluster_1906
Dopeav2128534m,cluster_5271
Dopeav2073836m,cluster_14308
Dopeav2015939m,cluster_29142
Dopeav2099720m,cluster_22044
Dopeav2138075m,cluster_7585
Dopeav2135402m,cluster_4734
Dopeav2073051m,cluster_9332
Dopeav2105645m,cluster_16294
Dopeav2008355m,cluster_13842
Dopeav2003424m,cluster_4857
Dopeav2073477m,cluster_7504
Dopeav2062330m,cluster_25970
Dopeav2097021m,cluster_10588
Dopeav2073466m,cluster_941
Dopeav2031771m,cluster_1993
Dopeav2128552m,cluster_9529
Dopeav2129363m,cluster_20619
Dopeav2008139m,cluster_5596
Dopeav2125859m,cluster_8735
Dopeav2075617m,cluster_15326
Dopeav2001213m,cluster_5170
Dopeav2118611m,cluster_11193
Dopeav2083393m,cluster_9078
Dopeav2079223m,cluster_2250
Dopeav2001789m,cluster_7209
Dopeav2066939m,cluster_2730
Dopeav2129642m,cluster_8458
Dopeav2021537m,cluster_23359
Dopeav2042860m,cluster_1409
Dopeav2071113m,cluster_4286
Dopeav2133362m,cluster_3466
Dopeav2049377m,cluster_23521
Dopeav2007275m,cluster_2286
Dopeav2016589m,cluster_18088
Dopeav2040222m,cluster_2444
Dopeav2020808m,cluster_8042
Dopeav2104646m,cluster_7886
Dopeav2032026m,cluster_26838
Dopeav2101607m,cluster_10233
Dopeav2096261m,cluster_17239
Dopeav2006591m,cluster_1702
Dopeav2005329m,cluster_11105
Dopeav2073795m,cluster_13639
Dopeav2128217m,cluster_12253
Dopeav2087445m,cluster_9232
Dopeav2042344m,cluster_7732
Dopeav2123362m,cluster_2684
Dopeav2026378m,cluster_9721
Dopeav2069974m,cluster_3039
Dopeav2093065m,cluster_6067
Dopeav2103575m,cluster_7225
Dopeav2131536m,cluster_26526
Dopeav2000977m,cluster_5903
Dopeav2004647m,cluster_663
Dopeav2070924m,cluster_11642
Dopeav2100042m,cluster_5375
Dopeav2100714m,cluster_5929
Dopeav2036002m,cluster_6651
Dopeav2097626m,cluster_924
Dopeav2075526m,cluster_6690
Dopeav2096977m,cluster_13819
Dopeav2075794m,cluster_6624
Dopeav2131411m,cluster_8277
Dopeav2130653m,cluster_8913
Dopeav2100271m,cluster_26462
Dopeav2104851m,cluster_1849
Dopeav2001317m,cluster_27229
Dopeav2002240m,cluster_1451
Dopeav2127384m,cluster_4549
Dopeav2056178m,cluster_28146
Dopeav2129097m,cluster_4871
Dopeav2020470m,cluster_15914
Dopeav2060366m,cluster_4023
Dopeav2067381m,cluster_21637
Dopeav2101080m,cluster_12598
Dopeav2112581m,cluster_1968
Dopeav2015249m,cluster_15988
Dopeav2019067m,cluster_2327
Dopeav2003927m,cluster_3725
Dopeav2029277m,cluster_89
Dopeav2108530m,cluster_10090
Dopeav2055486m,cluster_16529
Dopeav2135570m,cluster_17824
Dopeav2065929m,cluster_12874
Dopeav2107611m,cluster_6201
Dopeav2103926m,cluster_21960
Dopeav2129276m,cluster_20261
Dopeav2021898m,cluster_12236
Dopeav2003745m,cluster_20577
Dopeav2050745m,cluster_3031
Dopeav2093145m,cluster_11162
Dopeav2129106m,cluster_12016
Dopeav2075630m,cluster_18924
Dopeav2005260m,cluster_4363
Dopeav2113087m,cluster_8259
Dopeav2124028m,cluster_21165
Dopeav2124791m,cluster_2078
Dopeav2018105m,cluster_1713
Dopeav2060035m,cluster_13664
Dopeav2104283m,cluster_13007
Dopeav2037586m,cluster_16129
Dopeav2109498m,cluster_21606
Dopeav2100589m,cluster_18993
Dopeav2003904m,cluster_978
Dopeav2069649m,cluster_2196
Dopeav2022410m,cluster_13360
Dopeav2054733m,cluster_16406
Dopeav2051664m,cluster_11862
Dopeav2092712m,cluster_10943
Dopeav2037052m,cluster_7929
Dopeav2028336m,cluster_12309
Dopeav2135846m,cluster_19866
Dopeav2007643m,cluster_8792
Dopeav2059987m,cluster_18867
Dopeav2082741m,cluster_21029
Dopeav2054325m,cluster_9951
Dopeav2126667m,cluster_10468
Dopeav2079835m,cluster_1992
Dopeav2063984m,cluster_21804
Dopeav2068870m,cluster_6401
Dopeav2134055m,cluster_21305
Dopeav2135922m,cluster_15746
Dopeav2058666m,cluster_26132
Dopeav2024481m,cluster_6015
Dopeav2115257m,cluster_20340
Dopeav2080760m,cluster_24380
Dopeav2077690m,cluster_11917
Dopeav2135651m,cluster_11125
Dopeav2005905m,cluster_5209
Dopeav2038341m,cluster_20232
Dopeav2044406m,cluster_13185
Dopeav2063524m,cluster_9038
Dopeav2012204m,cluster_10458
Dopeav2034481m,cluster_9224
Dopeav2077205m,cluster_6951
Dopeav2103406m,cluster_8434
Dopeav2104387m,cluster_76
Dopeav2121620m,cluster_24552
Dopeav2113065m,cluster_2320
Dopeav2089638m,cluster_7072
Dopeav2067857m,cluster_8531
Dopeav2022760m,cluster_2076
Dopeav2101528m,cluster_4649
Dopeav2016525m,cluster_4664
Dopeav2089168m,cluster_956
Dopeav2062213m,cluster_19797
Dopeav2081922m,cluster_12288
Dopeav2109747m,cluster_5747
Dopeav2065042m,cluster_4890
Dopeav2058915m,cluster_21208
Dopeav2128233m,cluster_1812
Dopeav2013168m,cluster_25101
Dopeav2071192m,cluster_20658
Dopeav2099991m,cluster_8253
Dopeav2106950m,cluster_25040
Dopeav2130258m,cluster_5847
Dopeav2091438m,cluster_18083
Dopeav2051748m,cluster_14312
Dopeav2026291m,cluster_6582
Dopeav2016162m,cluster_27401
Dopeav2083312m,cluster_8050
Dopeav2126192m,cluster_1661
Dopeav2124403m,cluster_27518
Dopeav2133981m,cluster_22251
Dopeav2070280m,cluster_7967
Dopeav2045840m,cluster_16480
Dopeav2037575m,cluster_10208
Dopeav2019029m,cluster_9366
Dopeav2033287m,cluster_20197
Dopeav2026141m,cluster_3314
Dopeav2099066m,cluster_2728
Dopeav2089825m,cluster_3002
Dopeav2137927m,cluster_25362
Dopeav2119869m,cluster_9395
Dopeav2060100m,cluster_6112
Dopeav2115818m,cluster_22997
Dopeav2113145m,cluster_4081
Dopeav2051568m,cluster_919
Dopeav2083879m,cluster_27617
Dopeav2016042m,cluster_4632
Dopeav2074101m,cluster_20369
Dopeav2005376m,cluster_3830
Dopeav2104839m,cluster_2417
Dopeav2124400m,cluster_9568
Dopeav2022540m,cluster_2840
Dopeav2128392m,cluster_14696
Dopeav2025847m,cluster_932
Dopeav2101822m,cluster_3797
Dopeav2049645m,cluster_4453
Dopeav2117447m,cluster_10534
Dopeav2065162m,cluster_13385
Dopeav2132299m,cluster_13935
Dopeav2027205m,cluster_10234
Dopeav2134180m,cluster_20010
Dopeav2018892m,cluster_6327
Dopeav2091929m,cluster_8555
Dopeav2128609m,cluster_11515
Dopeav2130906m,cluster_3776
Dopeav2035163m,cluster_13962
Dopeav2108663m,cluster_26075
Dopeav2036702m,cluster_5169
Dopeav2058119m,cluster_14019
Dopeav2118974m,cluster_10182
Dopeav2117453m,cluster_1359
Dopeav2111632m,cluster_1917
Dopeav2029369m,cluster_2678
Dopeav2084665m,cluster_21093
Dopeav2105896m,cluster_4983
Dopeav2031667m,cluster_4014
Dopeav2070482m,cluster_12033
Dopeav2029487m,cluster_21323
Dopeav2039835m,cluster_9261
Dopeav2061350m,cluster_3003
Dopeav2105174m,cluster_14105
Dopeav2056765m,cluster_3855
Dopeav2039984m,cluster_14442
Dopeav2070561m,cluster_6665
Dopeav2079899m,cluster_24040
Dopeav2077586m,cluster_3286
Dopeav2056022m,cluster_3810
Dopeav2041993m,cluster_24896
Dopeav2122556m,cluster_7351
Dopeav2094137m,cluster_619
Dopeav2040287m,cluster_27753
Dopeav2106333m,cluster_16416
Dopeav2042879m,cluster_16686
Dopeav2019914m,cluster_22097
Dopeav2083776m,cluster_4531
Dopeav2028022m,cluster_17860
Dopeav2118795m,cluster_18480
Dopeav2012645m,cluster_199
Dopeav2029796m,cluster_22230
Dopeav2111714m,cluster_4174
Dopeav2073016m,cluster_15432
Dopeav2105500m,cluster_26752
Dopeav2054017m,cluster_3936
Dopeav2104816m,cluster_17413
Dopeav2082719m,cluster_16212
Dopeav2025630m,cluster_3874
Dopeav2098649m,cluster_6850
Dopeav2018476m,cluster_3929
Dopeav2131456m,cluster_687
Dopeav2039524m,cluster_9425
Dopeav2089801m,cluster_14524
Dopeav2039796m,cluster_2072
Dopeav2049269m,cluster_6330
Dopeav2070736m,cluster_22904
Dopeav2054248m,cluster_161
Dopeav2018467m,cluster_11984
Dopeav2007485m,cluster_1696
Dopeav2066908m,cluster_4787
Dopeav2004571m,cluster_28579
Dopeav2129732m,cluster_1177
Dopeav2099873m,cluster_15051
Dopeav2029984m,cluster_8892
Dopeav2047985m,cluster_1582
Dopeav2022212m,cluster_5873
Dopeav2024929m,cluster_6881
Dopeav2059859m,cluster_9032
Dopeav2049099m,cluster_1766
Dopeav2101351m,cluster_15027
Dopeav2063902m,cluster_2668
Dopeav2061781m,cluster_15211
Dopeav2045962m,cluster_9743
Dopeav2031997m,cluster_4533
Dopeav2083417m,cluster_14411
Dopeav2000284m,cluster_11346
Dopeav2001701m,cluster_12614
Dopeav2079382m,cluster_24774
Dopeav2056251m,cluster_16363
Dopeav2038872m,cluster_7104
Dopeav2130348m,cluster_1078
Dopeav2040265m,cluster_9639
Dopeav2086209m,cluster_7340
Dopeav2131061m,cluster_9564
Dopeav2112564m,cluster_15119
Dopeav2105323m,cluster_13566
Dopeav2077842m,cluster_10592
Dopeav2036620m,cluster_12377
Dopeav2050361m,cluster_14678
Dopeav2013432m,cluster_16010
Dopeav2079961m,cluster_17275
Dopeav2135756m,cluster_16189
Dopeav2056949m,cluster_3620
Dopeav2079015m,cluster_24777
Dopeav2101435m,cluster_3434
Dopeav2115112m,cluster_27582
Dopeav2115686m,cluster_17149
Dopeav2062089m,cluster_931
Dopeav2082584m,cluster_21495
Dopeav2091525m,cluster_25899
Dopeav2121519m,cluster_27638
Dopeav2038239m,cluster_10447
Dopeav2030646m,cluster_8881
Dopeav2026228m,cluster_25469
Dopeav2092138m,cluster_14994
Dopeav2057010m,cluster_1655
Dopeav2022290m,cluster_11303
Dopeav2104808m,cluster_20873
Dopeav2083150m,cluster_875
Dopeav2125484m,cluster_7820
Dopeav2035281m,cluster_21951
Dopeav2135616m,cluster_18451
Dopeav2060503m,cluster_24725
Dopeav2092668m,cluster_13873
Dopeav2089432m,cluster_3238
Dopeav2087683m,cluster_22809
Dopeav2024464m,cluster_13878
Dopeav2127187m,cluster_18196
Dopeav2069420m,cluster_13332
Dopeav2002257m,cluster_478
Dopeav2029327m,cluster_25887
Dopeav2037148m,cluster_1838
Dopeav2023656m,cluster_1871
Dopeav2066211m,cluster_10769
Dopeav2020631m,cluster_24498
Dopeav2129326m,cluster_9668
Dopeav2030851m,cluster_16046
Dopeav2098222m,cluster_28699
Dopeav2020161m,cluster_3870
Dopeav2137045m,cluster_25434
Dopeav2016481m,cluster_27839
Dopeav2123964m,cluster_17544
Dopeav2035306m,cluster_9688
Dopeav2126898m,cluster_20259
Dopeav2076345m,cluster_6644
Dopeav2093949m,cluster_1945
Dopeav2030631m,cluster_22917
Dopeav2047589m,cluster_513
Dopeav2095243m,cluster_16108
Dopeav2127045m,cluster_12115
Dopeav2030161m,cluster_4083
Dopeav2041098m,cluster_9004
Dopeav2130262m,cluster_24694
Dopeav2062493m,cluster_19914
Dopeav2116284m,cluster_10197
Dopeav2072867m,cluster_9532
Dopeav2040423m,cluster_8184
Dopeav2058255m,cluster_3467
Dopeav2089152m,cluster_22662
Dopeav2130918m,cluster_5486
Dopeav2097342m,cluster_16439
Dopeav2113415m,cluster_4675
Dopeav2068159m,cluster_1314
Dopeav2026084m,cluster_1854
Dopeav2046604m,cluster_11064
Dopeav2032140m,cluster_10099
Dopeav2062490m,cluster_11033
Dopeav2132823m,cluster_10270
Dopeav2127165m,cluster_6389
Dopeav2115648m,cluster_13133
Dopeav2024967m,cluster_7626
Dopeav2114685m,cluster_1762
Dopeav2112489m,cluster_1211
Dopeav2114457m,cluster_27918
Dopeav2097660m,cluster_5172
Dopeav2114997m,cluster_9790
Dopeav2020584m,cluster_16644
Dopeav2048435m,cluster_7826
Dopeav2035975m,cluster_29196
Dopeav2060323m,cluster_9454
Dopeav2115414m,cluster_6159
Dopeav2013664m,cluster_14348
Dopeav2110555m,cluster_27126
Dopeav2040420m,cluster_16226
Dopeav2064654m,cluster_9104
Dopeav2123032m,cluster_4563
Dopeav2134831m,cluster_16125
Dopeav2037498m,cluster_9746
Dopeav2108554m,cluster_10711
Dopeav2037958m,cluster_22585
Dopeav2027576m,cluster_1573
Dopeav2071038m,cluster_800
Dopeav2112460m,cluster_2713
Dopeav2033277m,cluster_18015
Dopeav2019943m,cluster_13084
Dopeav2067298m,cluster_19878
Dopeav2097394m,cluster_12567
Dopeav2035742m,cluster_4107
Dopeav2047563m,cluster_1705
Dopeav2104799m,cluster_21635
Dopeav2062397m,cluster_3167
Dopeav2049272m,cluster_11827
Dopeav2058428m,cluster_4276
Dopeav2122783m,cluster_13146
Dopeav2001698m,cluster_9093
Dopeav2019889m,cluster_5905
Dopeav2005386m,cluster_1637
Dopeav2088981m,cluster_13953
Dopeav2042664m,cluster_9205
Dopeav2066255m,cluster_19315
Dopeav2104377m,cluster_5559
Dopeav2093804m,cluster_5774
Dopeav2108625m,cluster_3983
Dopeav2088938m,cluster_5654
Dopeav2018106m,cluster_4245
Dopeav2060036m,cluster_14468
Dopeav2124127m,cluster_9573
Dopeav2093723m,cluster_9830
Dopeav2082500m,cluster_5594
Dopeav2010885m,cluster_26883
Dopeav2117718m,cluster_6263
Dopeav2082174m,cluster_807
Dopeav2108468m,cluster_740
Dopeav2134888m,cluster_695
Dopeav2071414m,cluster_3398
Dopeav2132351m,cluster_20319
Dopeav2135845m,cluster_22522
Dopeav2028335m,cluster_11101
Dopeav2108532m,cluster_27766
Dopeav2082227m,cluster_9903
Dopeav2116203m,cluster_11368
Dopeav2000324m,cluster_17331
Dopeav2031593m,cluster_15901
Dopeav2118899m,cluster_10581
Dopeav2040223m,cluster_11062
Dopeav2067752m,cluster_3975
Dopeav2072758m,cluster_13150
Dopeav2038159m,cluster_4727
Dopeav2099065m,cluster_8873
Dopeav2063974m,cluster_21802
